State Code,County Code,Site Num,Date Local,Latitude,Longitude,State Name,County Name,City Name,PM2.5 Mean,PM10 Mean
1,73,23,2023-03-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.420833,22
1,73,23,2023-03-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.325,29
1,73,23,2023-03-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.470833,22
1,73,23,2023-03-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.8625,36
1,73,23,2023-03-31,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.120833,40
1,73,23,2023-04-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,34.654167,46
1,73,23,2023-04-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.145833,12
1,73,23,2023-04-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.913043,21
1,73,23,2023-04-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.741667,26
1,73,23,2023-04-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.986957,21
1,73,23,2023-04-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.775,24
1,73,23,2023-04-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.445833,12
1,73,23,2023-04-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.858333,8
1,73,23,2023-04-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.370833,9
1,73,23,2023-04-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.604167,19
1,73,23,2023-04-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.045833,33
1,73,23,2023-04-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.254167,48
1,73,23,2023-04-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.070833,22
1,73,23,2023-04-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.45,22
1,73,23,2023-04-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.333333,27
1,73,23,2023-04-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.7875,13
1,73,23,2023-04-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.595833,20
1,73,23,2023-04-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,29.55,50
1,73,23,2023-04-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,26.708333,51
1,73,23,2023-04-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,26.308333,51
1,73,23,2023-04-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.254167,32
1,73,23,2023-04-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.579167,15
1,73,23,2023-04-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.466667,15
1,73,23,2023-04-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.0375,18
1,73,23,2023-04-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.895833,26
1,73,23,2023-04-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.195833,29
1,73,23,2023-04-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.375,16
